mc,bm
无症状鼠疫,A20.802
轻型鼠疫,A20.803
鼠疫,A20.900
溃疡腺型土拉菌病,A21.000
眼腺型土拉菌病,A21.100
肺土拉菌病,A21.200
胃肠土拉菌病,A21.300
腹部土啦菌病,A21.301
全身性土拉菌病,A21.700
特指形式土拉菌病,A21.800
土拉菌病,A21.900
皮肤炭疽,A22.000
肺炭疽,A22.100
胃肠炭疽,A22.200
炭疽性败血症,A22.700
特指形式炭疽,A22.800
炭疽脑膜炎,A22.801+
炭疽,A22.900
马耳他布氏菌病,A23.000
羊布氏杆菌病,A23.001
流产布氏菌病,A23.100
猪布氏菌病,A23.200
犬布氏菌病,A23.300
特指布氏菌病,A23.800
布氏菌病,A23.900
布氏菌病脊柱炎,A23.901+
布氏菌病关节炎,A23.902+
鼻疽,A24.000
急性和暴发性类鼻疽,A24.100
急性类鼻疽,A24.101
暴发性类鼻疽,A24.102
亚急性和慢性类鼻疽,A24.200
亚急性类鼻疽,A24.201
慢性类鼻疽,A24.202
特指类鼻疽,A24.300
类鼻疽,A24.400
螺菌病,A25.000
链杆菌病,A25.100
鼠咬热,A25.900
皮肤类丹毒,A26.000
丹毒丝菌败血症,A26.700
特指形式类丹毒,A26.800
类丹毒,A26.900
出血性黄疸钩端螺旋体病,A27.000
特指形式钩端螺旋体病,A27.800
钩端螺旋体病,A27.900
巴斯德菌病,A28.000
巴斯德菌败血症,A28.001
猫抓病,A28.100
肠外耶尔森菌病,A28.200
特指动物源性细菌性疾病,A28.800
人感染猪链球菌,A28.801
动物源性细菌性疾病,A28.900
未定类麻风,A30.000
结核样型麻风,A30.100
偏结核样型界线类麻风,A30.200
中间界线类麻风,A30.300
偏瘤型界线类麻风,A30.400
瘤型麻风,A30.500
特指形式麻风,A30.800
麻风,A30.900
肺分枝杆菌感染,A31.000
肺非典型分枝杆菌病,A31.001
鸟-胞内复合分枝杆菌感染,A31.002
皮肤分枝杆菌感染,A31.100
伯鲁里溃疡,A31.101
海分枝杆菌感染,A31.102
特指分枝杆菌感染,A31.800
淋巴结分枝杆菌感染,A31.801
足分枝杆菌病,A31.802
播散性非结核分枝杆菌病,A31.803
分枝杆菌感染,A31.900
非典型分枝杆菌感染,A31.901
皮肤利斯特菌病,A32.000
