online,icd1,icd2,icd3,icd4,icd5
大腿结节性筋膜炎,大腿浅表冻伤,硬化性筋膜炎,趾筋膜炎,小腿擦伤,小腿浅表冻伤
急性ST段抬高型前壁心肌梗塞,急性ST段抬高型心肌梗死,急性非ST段抬高型心肌梗死,陈旧性非ST段抬高性心肌梗死,急性下壁后壁右心室心肌梗死,急性下壁侧壁正后壁心肌梗死
骨骼特指部位产伤,大脑皮层多部位脑膜瘤,身体复合部位的创伤性切断,多部位肿物,身体复合部位的脱位,身体复合部位的浅表损伤
胸壁黑素细胞痣,皮脂腺痣,甲下痣,痣,小阴唇血管瘤,先天性疣状痣
前交通动脉的蛛网膜下腔出血,前交通动脉蛛网膜下腔出血,前交通动脉动脉瘤破裂伴蛛网膜下腔出血,脉络膜前动脉栓塞,脉络膜前动脉动脉瘤破裂伴蛛网膜下腔出血,入脑前动脉栓塞
外腘神经损害,足底神经损害,腓总神经损害,腘外侧神经损害,腘内侧神经损害,髋部神经损伤
产伤致新生儿头皮水肿,新生儿头皮水肿,新生儿头皮挫伤,新生儿头皮损伤,新生儿皮下坏疽,新生儿面部挤压伤
胃酸过多,反酸,嗳气,糜烂性食管炎,胃胀气,胃食管反流
心理治疗后随诊检查,心理治疗后的随诊检查,治疗后的随诊检查,移植术后的随诊检查,恶性肿瘤治疗后的随诊检查,恶性肿瘤中医治疗后的随诊检查
马尾绦虫肉芽肿,环形肉芽肿,颌骨肉芽肿,唾液腺坏死性肉芽肿,阿米巴肉芽肿,额窦肉芽肿
眼睑和眼周区域特指变性性疾患,中枢性位置性眼球震颤,眼睑周围神经和自主神经交界性肿瘤,眼睑交界性肿瘤,1型糖尿病性局部的水肿斑点性视网膜病,2型糖尿病性局部的水肿斑点性视网膜病
特指输注、输血和治疗性注射后并发症,治疗性注射后败血症性休克,治疗性二氧化碳中毒,输注反应,输注后血栓性静脉炎,输注后静脉炎
声带和喉息肉,声带蜂窝织炎,鼻咽部毛息肉,腭垂息肉,腭黏膜息肉,声带增生
躯干周围神经自主神经恶性肿瘤,躯干周围神经和自主神经恶性肿瘤,腕周围神经和自主神经恶性肿瘤,踝部周围神经和自主神经恶性肿瘤,腋部周围神经和自主神经恶性肿瘤,骶部周围神经和自主神经恶性肿瘤
胸骨扭伤和劳损,胸骨前区挫伤,后天性胸骨变形,髋部挫伤,颈部前纵韧带扭伤,肩关节扭伤
勒夫勒心内膜炎,心内膜炎,类风湿性心内膜炎,李斯特菌性心内膜炎,结核性心内膜炎,亚急性细菌性心内膜炎
特指先天性角膜畸形,先天性扁平角膜,先天性趾甲畸形,先天性唇畸形,先天性唾液腺畸形,先天性无眼畸形
混合型阿尔茨海默病性痴呆伴抑郁状态,"双相情感障碍,目前为不伴有精神病性症状的重度抑郁发作","双相情感障碍,目前为伴有精神病性症状的重度抑郁发作","双相情感障碍,目前为不伴有躯体症状的中度抑郁发作","双相情感障碍,目前为伴有躯体症状的中度抑郁发作","双相情感障碍,目前为不伴有躯体症状的轻度抑郁发作"
溃疡性直肠乙状结肠炎，中度,贲门炎,复发性坏死性黏膜腺周围炎,慢性输尿管炎,直肠黏膜脱垂,慢性纵隔炎
微球菌属性败血症,隐球菌脑膜炎,新型隐球菌脑膜炎,隐球菌脑炎,革兰阴性菌败血症,葡萄球菌食物中毒
骨盆入口狭窄难产,骨盆入口狭窄引起胎盆不称,骨盆狭窄引起胎盆不称,骨盆中腔狭窄引起胎盆不称,漏斗骨盆[骨盆出口狭窄引起胎盆不称],骨盆入口狭窄引起的梗阻性分娩
