word,count
和,2086
的,1255
后,1146
],602
[,602
-,525
，,492
(,463
),462
内,329
下,307
反应,290
引起,284
、,268
不,249
与,239
形成,223
有关,222
",",205
或,198
1,197
周围,195
2,177
多,166
（,159
）,158
个人,151
上,146
在,143
小,121
所,112
于,109
问题,108
为,102
无,99
见,97
+,97
大,94
部分,89
及,88
具有,83
被,73
/,72
管,68
特殊,68
完全,65
其他,64
用,53
进行,46
单,45
使用,44
单纯,42
由于,40
行为,39
自身,39
不足,39
采取,39
必要,39
并,38
A,37
目前,36
致,36
及其,33
从,33
半,33
经,32
三,31
突出,31
跟,30
者,30
对,29
主要,28
广泛,26
正常,25
重复,24
Ⅲ,24
同一,24
造成,21
有,21
带,21
为主,20
％,20
巨大,20
故意,19
等,18
再,18
人,17
过,17
常,17
显著,17
不能,16
需要,16
仅,15
扩大,15
－,14
以,14
儿,14
别人,13
以上,13
适应,13
极,13
严重,12
二,12
他,12
分期,12
成年,12
能,11
纵,11
白,11
加以,11
纯,11
均,11
进入,10
使,10
企图,10
γ,9
全面,9
而,9
某些,8
尔,8
共同,8
上下,7
4,7
开始,7
～,7
5,7
确定,7
适当,7
结合,7
因,7
决定,7
结果,7
除外,7
大量,7
普通,6
初,6
据说,6
第二,6
一般,6
传,6
距,6
复杂,6
.,6
可,6
由,6
去,5
同,5
但,5
随后,5
',5
阿,5
应用,5
准备,5
移动,5
3,5
另,5
6,5
通常,4
绝对,4
弗,4
出,4
存在,4
出现,4
光,4
7,4
到,4
任何,4
地,4
中间,4
明确,4
前面,3
不可,3
一个,3
帮助,3
便,3
来,3
／,3
极度,3
一,3
那,3
奇,3
他人,3
近,3
自,3
再次,3
上升,2
组成,2
前后,2
代替,2
?,2
突然,2
后面,2
宁,2
明显,2
防止,2
当,2
独自,2
是,2
之,2
获得,2
以外,2
极端,2
下面,2
比,2
】,2
介于,2
四,2
保险,2
以后,2
·,2
继续,2
通过,2
μ,2
【,2
凡,2
除,2
这些,2
可能,2
失去,2
行动,2
会,2
比较,2
其它,2
即刻,2
维持,2
注意,2
定,2
<,2
以下,2
达到,2
哈,2
给,2
可见,2
五,1
将,1
高低,1
好,1
己,1
成为,1
个别,1
也,1
已,1
..,1
对应,1
来源,1
六,1
别,1
根据,1
以前,1
它们,1
相对,1
多次,1
既往,1
吗,1
不同,1
。,1
9,1
依,1
完成,1
任务,1
0,1
上面,1
并非,1
能够,1
全部,1
　,1
同时,1
且,1
重新,1
得,1
关于,1
各种,1
大多,1
—,1
8,1
转变,1
对待,1
迅速,1
>,1
作为,1
＋,1
全年,1
要求,1
离,1
相似,1
若,1
活,1
范围,1
眨眼,1
