word,count,word1,word2,word3,word4,word5
和,2086,支气管结核(细菌学和组织学证实),声带结核(细菌学和组织学证实),气管结核(细菌学和组织学证实),喉结核(细菌学和组织学证实),肺门淋巴结结核(细菌学和组织学证实)
的,1255,人类免疫缺陷病毒[HIV]相关的消瘦综合征,软腭的鼻咽后面恶性肿瘤,舌尖及侧缘的恶性肿瘤,HIV感染的不典型皮肤淋巴细胞增生性疾病,艾滋病相关的脑病
后,1146,脑膜炎球菌感染后关节炎,结核性脊柱后凸,带状疱疹后坐骨神经痛,腹膜后淋巴结结核,带状疱疹后三叉神经痛
[,602,肺阿米巴病[阿米巴肺脓肿],结核性肺炎[干酪性肺炎],假膜性肠炎[难辨梭状芽孢杆菌肠炎],肝阿米巴病[阿米巴肝脓肿],肺结核球[肺结核瘤]
],602,肺阿米巴病[阿米巴肺脓肿],结核性肺炎[干酪性肺炎],假膜性肠炎[难辨梭状芽孢杆菌肠炎],肝阿米巴病[阿米巴肝脓肿],肺结核球[肺结核瘤]
-,525,阿盖尔-罗伯逊现象,克-雅病,复发型斑疹伤寒[Brill-Zinsser病],鸟-胞内复合分枝杆菌感染,华-弗综合征[Waterhouse-Friderichsen综合征]
，,492,肺干酪性结核，痰镜检（+）,结核性肺纤维变性，痰镜检（+）,肺结核，痰镜检（+）,肺结核瘤，痰镜检（+）,大肠杆菌感染，未指明部位
(,463,肺结核(仅痰涂片证实),肺结核(痰涂片及培养均证实),"继发性肺结核(初治,单耐药)涂阳培阳","继发性肺结核(初治,单耐药)涂阴培阳",肺结核(显微镜检证实)
),462,肺结核(仅痰涂片证实),肺结核(痰涂片及培养均证实),"继发性肺结核(初治,单耐药)涂阳培阳","继发性肺结核(初治,单耐药)涂阴培阳",肺结核(显微镜检证实)
内,329,眼内恶性肿瘤,唇内面颊侧面恶性肿瘤,眶内恶性肿瘤,鸟-胞内复合分枝杆菌感染,内眦恶性肿瘤
下,307,下颌下腺结核,流行性腮腺炎并发下颌下腺炎,膈下结核性脓肿,下唇系带恶性肿瘤,颏下淋巴结结核
反应,290,梅毒血清反应阳性,反应性嗜酸粒细胞增多,类白血病样反应,反应性低血糖症[餐后低血糖症],过度惊吓反应症
引起,284,肿瘤引起的脑积水,肿瘤引起的骨折,肿瘤引起的变形性骨炎,多发性骨髓瘤引起的变形性骨炎,多发性骨髓瘤引起的肾小球疾患
、,268,妊娠合并内分泌、营养和代谢疾病,产褥期内分泌、营养和代谢疾病,分娩合并内分泌、营养和代谢疾病,由于脑部疾病、损害和功能障碍引起的器质性人格和行为障碍,妊娠合并先天性畸形、变形和染色体异常
不,249,不动杆菌感染,不全性带状疱疹,HIV感染的不典型皮肤淋巴细胞增生性疾病,不动杆菌属性败血症,难治性贫血不伴有铁粒幼细胞
与,239,与归类在他处的障碍或疾病有关的心理和行为因素,与慢性炎症相关弥漫大B细胞淋巴瘤,与产褥期有关的轻度精神和行为障碍,与精神发育迟滞和刻板动作有关的多动障碍,与产褥期有关的重度精神和行为障碍
形成,223,化脓性乙状窦血栓形成,因子Ⅷ抗体形成,化脓性失状窦血栓形成,化脓性直窦血栓形成,垂体瘢痕形成
有关,222,与归类在他处的障碍或疾病有关的心理和行为因素,与产褥期有关的轻度精神和行为障碍,与人工授精有关特指并发症,与精神发育迟滞和刻板动作有关的多动障碍,与产褥期有关的重度精神和行为障碍
",",205,"继发性肺结核(初治,多耐药)涂阴培阳","继发性肺结核(初治,多耐药)涂阳培阳","继发性肺结核(初治,单耐药)涂阳培阳","继发性肺结核(初治,单耐药)涂阴培阳","继发性肺结核(初治,广泛耐药)涂阳培阳"
或,198,1型糖尿病性黑棘皮症或血脂障碍或高胰岛素血症或肥胖症,糖尿病性黑棘皮症或血脂障碍或高胰岛素血症或肥胖症,普通变异型免疫缺陷伴对B或T细胞的自身抗体,重症联合免疫缺陷伴低或正常数量的B细胞,2型糖尿病性黑棘皮症或血脂障碍或高胰岛素血症或肥胖症
1,197,补体1酯酶抑制剂缺乏,淋巴细胞功能相关抗原-1缺陷,滤泡性非霍奇金淋巴瘤1级,1型糖尿病性高血糖状态昏迷,1型糖尿病性高渗性高血糖状态昏迷
周围,195,肾上腺周围组织恶性肿瘤,法特壶腹周围恶性肿瘤,周围淋巴结结核,直肠周围周围神经和自主神经恶性肿瘤,肛门周围尖锐湿疣
2,177,2型糖尿病性高血糖状态昏迷,2型糖尿病性高渗性高血糖状态昏迷,2型糖尿病性酮症酸中毒并昏迷,滤泡性非霍奇金淋巴瘤2级,2型糖尿病性低血糖昏迷
多,166,"继发性肺结核(初治,多耐药)涂阴培阳","继发性肺结核(初治,多耐药)涂阳培阳","支气管结核(初治,多耐药)涂阳培阳","继发性肺结核(复治,多耐药)涂阴培阳","继发性肺结核(复治,多耐药)涂阳培阳"
（,159,肺干酪性结核，痰镜检（+）,结核性肺纤维变性，痰镜检（+）,肺结核，痰镜检（+）,肺结核瘤，痰镜检（+）,结核性肺炎，痰镜检（+）
）,158,肺干酪性结核，痰镜检（+）,结核性肺纤维变性，痰镜检（+）,肺结核，痰镜检（+）,肺结核瘤，痰镜检（+）,结核性肺炎，痰镜检（+）
个人,151,嗅觉和味觉问题个人史,恶性肿瘤个人史,听觉问题个人史,严重急性呼吸综合征个人史,视力问题个人史
上,146,锁骨上淋巴结结核,乳腺中上象限恶性肿瘤,上唇系带恶性肿瘤,上牙龈恶性肿瘤,右肺上叶恶性肿瘤
在,143,与归类在他处的障碍或疾病有关的心理和行为因素,早产胎膜早破(在24小时之内产程开始),足月胎膜早破(在24小时之内产程开始),早产胎膜早破(在1-7天内产程开始),足月胎膜早破(在1-7天内产程开始)
小,121,沙门菌小肠炎,小唾液腺恶性肿瘤,急性小肠炎,病毒性小肠炎,黑色小孢子菌病
所,112,用钝器所击打的依法处置,枪弹和弹片所引起的战争损伤,由于手枪所引起的战争损伤,水中武器爆炸所引起的战争损伤,由于气枪所引起的战争损伤
于,109,附加于痴呆的谵妄,非附加于痴呆的谵妄,右心室衰竭(继发于左心衰竭),通常起病于童年和少年期的行为与情绪障碍,继发于蛋白质-热能营养不良的发育迟缓
问题,108,对生活周期转换的适应问题,避孕问题,生育问题,由于社会问题引起的高危妊娠监督,与无家可归有关的问题
为,102,"双相情感障碍,目前为轻度抑郁发作","双相情感障碍,目前为轻躁狂发作","双相情感障碍,目前为伴有精神病性症状的躁狂发作","双相情感障碍,目前为不伴有精神病性症状的躁狂发作",肺结核(细菌学和组织学检查为阴性)
无,99,人粒细胞无形体病,病毒性肝炎甲型急性无黄疸型,脊髓灰质炎无瘫痪型,病毒性肝炎乙型急性无黄疸型,病毒性肝炎乙型丁型急性无黄疸型
+,97,原发性皮肤CD30+间变性大细胞淋巴瘤,原发皮肤侵袭性嗜表皮CD8+T细胞淋巴瘤,ALK+大B细胞淋巴瘤,原发皮肤CD30+T细胞淋巴增殖性疾病,原发皮肤CD4+小/中多形性T细胞淋巴瘤
见,97,血液化学异常所见,尿微生物学检查异常所见,血液化学特指异常所见,特指血清免疫学异常所见,血清免疫学异常所见
大,94,大血管恶性肿瘤,大网膜继发恶性肿瘤,大阴唇恶性肿瘤,结核性大咯血,大唾液腺恶性肿瘤
部分,89,舌活动部分恶性肿瘤,部分性脂肪营养不良,"先天性共济失调,精神发育迟缓及部分无虹膜",急性粒细胞性白血病部分分化型伴缓解(M2型),急性粒细胞性白血病部分分化型(M2型)
及,88,肺结核(痰涂片及培养均证实),舌根和咽部及喉部恶性肿瘤,舌下腺及舌根恶性肿瘤,舌根及咽部恶性肿瘤,口腔及咽部恶性肿瘤
具有,83,具有子宫内避孕装置的妊娠,具有流产史的妊娠监督,具有子宫内避孕器的孕产妇医疗,具有不孕症史者的妊娠监督,具有水泡状胎块史的妊娠监督
被,73,脾被膜撕裂,行人被机动车辆碰撞的交通事故,肾被膜积液,行人被火车碰伤,骑手或乘员与被驱赶的牲畜的碰撞
/,72,T淋巴母细胞白血病/淋巴瘤,富T细胞/富组织细胞大B细胞淋巴瘤,B淋巴母细胞性白血病/淋巴瘤,原发皮肤CD4+小/中多形性T细胞淋巴瘤,结外NK/T细胞淋巴瘤(鼻型)
特殊,68,肠道传染病的特殊筛查,胃部肿瘤的特殊筛查,雅司病的特殊筛查,原发皮肤外周T细胞淋巴瘤(非特殊类型),呼吸道结核的特殊筛查
管,68,幽门管恶性肿瘤,肝胆管恶性肿瘤,肝胆管交界性肿瘤,胆囊管恶性肿瘤,女性沃尔夫管恶性肿瘤
完全,65,单侧完全声带麻痹,双侧不完全声带麻痹,单侧完全喉麻痹,单侧不完全喉麻痹,单侧不完全声带麻痹
其他,64,原发皮肤弥漫性大B细胞淋巴瘤(其他型),其他兴奋剂(包括咖啡因)的有害使用,其他兴奋剂急性中毒,其他兴奋剂(包括咖啡因)戒断状态,其他兴奋剂(包括咖啡因)依赖综合征
用,53,用手枪发射方式故意自害,在游泳池中用淹溺和沉没方式故意自害,接触松土用农耕器具,在浴室浴盆中用淹溺和沉没方式故意自害,在自然水域中用淹溺和沉没方式故意自害
进行,46,用杀虫剂进行加害,植物类养料和肥料进行加害,用气体和蒸气进行加害,铊进行加害,用腐蚀性物质进行加害
单,45,"继发性肺结核(初治,单耐药)涂阳培阳","继发性肺结核(初治,单耐药)涂阴培阳","继发性肺结核(复治,单耐药)涂阳培阳","支气管结核(初治,单耐药)涂阳培阳","继发性肺结核(复治,单耐药)涂阴培阳"
使用,44,可卡因的有害使用,酒精的有害使用,镇静剂或催眠剂的有害使用,大麻类物质的有害使用,阿片类药有害使用
单纯,42,唇部单纯疱疹,耳部单纯疱疹HSV-Ⅱ型,单纯疱疹病毒性水疱皮炎,面部单纯疱疹,唇部单纯疱疹HSV-Ⅱ型
由于,40,由于脑部疾病、损害和功能障碍引起的器质性人格和行为障碍,由于心理原因渲染的躯体症状,由于枕头压迫导致窒息,由于肾功能损害引起的痛风,由于脑损害和功能障碍及躯体疾病引起的精神障碍
采取,39,仅为抗伤寒-副伤寒采取必要的免疫,仅为抗百日咳采取必要的免疫,仅为抗破伤风采取必要的免疫,仅为抗霍乱采取必要的免疫,为抗结核病采取必要的免疫
不足,39,视网膜动脉供血不足,冠状动脉供血不足,操作后血内胰岛素不足,慢性冠状动脉供血不足,急性冠状动脉供血不足
自身,39,自身免疫性溶血性贫血(冷型),自身免疫性溶血性贫血,药物性自身免疫性溶血性贫血,自身免疫性溶血性贫血(温型),药物性非自身免疫性溶血性贫血
