批准文号,游戏名称,运营单位,批文日期
文网游进字〔2018〕0081 号,堡垒之夜,深圳市腾讯计算机系统有限公司,2018-05-15
文网游进字〔2018〕0063 号,口袋学院物语1,北京粒子互娱网络科技有限公司,2018-04-25
文网游进字〔2018〕0056 号,妃十三学园,上海幻电信息科技有限公司,2018-04-25
文网游进字〔2018〕0060 号,开拓神秘岛,北京粒子互娱网络科技有限公司,2018-04-25
文网游进字〔2018〕0070 号,极限竞速7,东方明珠新媒体股份有限公司,2018-04-25
文网游进字〔2018〕0055 号,茜色世界中与君咏唱,成都数字天空科技有限公司,2018-04-25
文网游进字〔2018〕0074 号,我的世界：故事模式,深圳市腾讯计算机系统有限公司,2018-04-25
文网游进字〔2018〕0054 号,梦想协奏曲！少女乐团派对！,上海幻电信息科技有限公司,2018-04-25
文网游进字〔2018〕0075 号,乐克乐克重制版,上海东方明珠文化发展有限公司,2018-04-25
文网游进字〔2018〕0080 号,织法者,北京中电博亚科技有限公司,2018-04-25
文网游进字〔2018〕0071 号,旗帜传说2,深圳市腾讯计算机系统有限公司,2018-04-25
文网游进字〔2018〕0072 号,命运之手2,北京游道易网络文化有限公司,2018-04-25
文网游进字〔2018〕0076 号,轩辕剑龙舞云山,杭州网易雷火科技有限公司,2018-04-25
文网游进字〔2018〕0066 号,游戏厅物语,北京粒子互娱网络科技有限公司,2018-04-25
文网游进字〔2018〕0065 号,星之开罗君,北京粒子互娱网络科技有限公司,2018-04-25
文网游进字〔2018〕0059 号,创意蛋糕店,北京粒子互娱网络科技有限公司,2018-04-25
文网游进字〔2018〕0061 号,海鲜寿司物语,北京粒子互娱网络科技有限公司,2018-04-25
文网游进字〔2018〕0058 号,王国保卫战：前线,北京炽羽科技有限公司,2018-04-25
文网游进字〔2018〕0073 号,轩辕剑之汉之云-英伟达电视娱乐一体机版,北京爱奇艺科技有限公司,2018-04-25
文网游进字〔2018〕0057 号,实况足球,杭州网易雷火科技有限公司,2018-04-25
文网游进字〔2018〕0079 号,卡通射手2,上海汇火文化传播有限公司,2018-04-25
文网游进字〔2018〕0062 号,冲刺赛车物语2,北京粒子互娱网络科技有限公司,2018-04-25
文网游进字〔2018〕0077 号,侍魂-胧月传说,乐道互动（天津）科技有限公司,2018-04-25
文网游进字〔2018〕0069 号,兄弟：双子传说,心动网络股份有限公司,2018-04-25
文网游进字〔2018〕0064 号,实况:王者集结,杭州网易雷火科技有限公司,2018-04-25
文网游进字〔2018〕0053 号,棒球物语,北京粒子互娱网络科技有限公司,2018-04-25
文网游进字〔2018〕0078 号, 怪物弹珠,北京超旗网络信息技术有限公司,2018-04-25
文网游进字〔2018〕0067 号,美国篮球协会18手游,深圳市腾讯计算机系统有限公司,2018-04-25
文网游进字〔2018〕0068 号,灵犀出版社物语,北京粒子互娱网络科技有限公司,2018-04-25
文网游进字〔2018〕0037 号,足球在线4,深圳市腾讯计算机系统有限公司,2018-03-19
文网游进字〔2018〕0040 号,像素牧场物语,北京粒子互娱网络科技有限公司,2018-03-19
文网游进字〔2018〕0035 号,围攻,深圳市腾讯计算机系统有限公司,2018-03-19
文网游进字〔2018〕0048 号,幻想英雄传PSV版,上海东方明珠文化发展有限公司,2018-03-19
文网游进字〔2018〕0044 号,视差空间,北京爱奇艺科技有限公司,2018-03-19
文网游进字〔2018〕0051 号,指间坦克,杭州哲信信息技术有限公司,2018-03-19
文网游进字〔2018〕0043 号,大江户物语,北京粒子互娱网络科技有限公司,2018-03-19
文网游进字〔2018〕0050 号,东方计划幻想圆舞曲,上海东方明珠文化发展有限公司,2018-03-19
文网游进字〔2018〕0047 号,幻想英雄传,上海东方明珠文化发展有限公司,2018-03-19
文网游进字〔2018〕0033 号,洪潮之焰,完美世界（北京）网络技术有限公司,2018-03-19
文网游进字〔2018〕0038 号,森喜刚归来,北京爱奇艺科技有限公司,2018-03-19
文网游进字〔2018〕0049 号,晴空农场物语,北京粒子互娱网络科技有限公司,2018-03-19
文网游进字〔2018〕0032 号,创世纪,深圳市腾讯计算机系统有限公司,2018-03-19
文网游进字〔2018〕0046 号,住宅梦物语,北京粒子互娱网络科技有限公司,2018-03-19
文网游进字〔2018〕0039 号,仰冲异界,上海星游纪信息技术有限公司,2018-03-19
文网游进字〔2018〕0036 号,龙珠时空传说,上海巨人网络科技有限公司,2018-03-19
文网游进字〔2018〕0034 号,艾兰岛,深圳市腾讯计算机系统有限公司,2018-03-19
文网游进字〔2018〕0042 号,漫画道场物语,北京粒子互娱网络科技有限公司,2018-03-19
文网游进字〔2018〕0052 号,传送门骑士移动版,广州多益网络股份有限公司,2018-03-19
文网游进字〔2018〕0041 号,合战忍者村物语,北京粒子互娱网络科技有限公司,2018-03-19
文网游进字〔2018〕0045 号,光●遇,杭州网易雷火科技有限公司,2018-03-19
